	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
40	0.0277	https://api.spotify.com/v1/audio-analysis/5WOQUgcXl79q0KnYwECQsm	0.303	192960	0.9	5WOQUgcXl79q0KnYwECQsm	0.635	2	0.11	-2.352	0	0.0574	149.508	4	https://api.spotify.com/v1/tracks/5WOQUgcXl79q0KnYwECQsm	audio_features	spotify:track:5WOQUgcXl79q0KnYwECQsm	0.491	yes
41	0.487	https://api.spotify.com/v1/audio-analysis/0qHrE21zGV4DThyfx0HdFu	0.534	234160	0.659	0qHrE21zGV4DThyfx0HdFu	0.0808	0	0.0892	-8.279	1	0.027	107.052	4	https://api.spotify.com/v1/tracks/0qHrE21zGV4DThyfx0HdFu	audio_features	spotify:track:0qHrE21zGV4DThyfx0HdFu	0.497	yes
42	0.383	https://api.spotify.com/v1/audio-analysis/1rTwIDd21owxbDdHI9l8lI	0.649	238247	0.615	1rTwIDd21owxbDdHI9l8lI	0.00397	11	0.302	-12.627	0	0.191	179.973	4	https://api.spotify.com/v1/tracks/1rTwIDd21owxbDdHI9l8lI	audio_features	spotify:track:1rTwIDd21owxbDdHI9l8lI	0.595	yes
43	0.41	https://api.spotify.com/v1/audio-analysis/7DfFc7a6Rwfi3YQMRbDMau	0.716	200747	0.35	7DfFc7a6Rwfi3YQMRbDMau	0.00134	0	0.0927	-11.094	1	0.0537	129.842	4	https://api.spotify.com/v1/tracks/7DfFc7a6Rwfi3YQMRbDMau	audio_features	spotify:track:7DfFc7a6Rwfi3YQMRbDMau	0.178	yes
44	0.04	https://api.spotify.com/v1/audio-analysis/0p0c8jTIF5sUVvNP6DXZuu	0.658	254000	0.862	0p0c8jTIF5sUVvNP6DXZuu	0.0	9	0.439	-4.172	1	0.0427	119.016	4	https://api.spotify.com/v1/tracks/0p0c8jTIF5sUVvNP6DXZuu	audio_features	spotify:track:0p0c8jTIF5sUVvNP6DXZuu	0.857	yes
45	0.0124	https://api.spotify.com/v1/audio-analysis/51G9eY5a9zlJ2oTKxgEXob	0.633	284925	0.926	51G9eY5a9zlJ2oTKxgEXob	0.689	1	0.156	-4.056	1	0.0404	152.032	4	https://api.spotify.com/v1/tracks/51G9eY5a9zlJ2oTKxgEXob	audio_features	spotify:track:51G9eY5a9zlJ2oTKxgEXob	0.515	yes
46	0.0463	https://api.spotify.com/v1/audio-analysis/0PP4DZw3cg3mq9JqO0a4rN	0.578	208139	0.825	0PP4DZw3cg3mq9JqO0a4rN	0.0201	5	0.162	-4.659	0	0.0284	113.907	4	https://api.spotify.com/v1/tracks/0PP4DZw3cg3mq9JqO0a4rN	audio_features	spotify:track:0PP4DZw3cg3mq9JqO0a4rN	0.951	yes
47	0.0282	https://api.spotify.com/v1/audio-analysis/0WlHXO7llOsNP8TBZx0QCN	0.539	260280	0.791	0WlHXO7llOsNP8TBZx0QCN	0.017	9	0.216	-8.495	1	0.0702	129.997	4	https://api.spotify.com/v1/tracks/0WlHXO7llOsNP8TBZx0QCN	audio_features	spotify:track:0WlHXO7llOsNP8TBZx0QCN	0.51	yes
48	0.77	https://api.spotify.com/v1/audio-analysis/2EfZVAmlo67ydkGe1NwpDw	0.625	263810	0.482	2EfZVAmlo67ydkGe1NwpDw	0.0	11	0.106	-7.926	0	0.044	125.979	4	https://api.spotify.com/v1/tracks/2EfZVAmlo67ydkGe1NwpDw	audio_features	spotify:track:2EfZVAmlo67ydkGe1NwpDw	0.397	yes
49	0.179	https://api.spotify.com/v1/audio-analysis/4pltb80algQM7OBq1k2SDM	0.534	192280	0.886	4pltb80algQM7OBq1k2SDM	0.0134	2	0.368	-3.712	1	0.107	162.049	4	https://api.spotify.com/v1/tracks/4pltb80algQM7OBq1k2SDM	audio_features	spotify:track:4pltb80algQM7OBq1k2SDM	0.606	yes
